graph,representative_edges,labelled_count,E,R,V,W,Z,Target,weighted_total
5K1,,1,0,0,0,0,0,0,0
K2+3K1,0-1,10,0,0,0,0,0,0,0
P3+2K1,0-1;1-2,30,0,16,0,0,0,6,6
2K2+K1,0-1;2-3,15,0,0,0,0,0,0,0
"K1,3+K1",0-1;0-2;0-3,20,12,0,0,0,0,18,18
P4+K1,0-1;1-2;2-3,60,4,-48,0,0,0,-12,-12
P3+K2,0-1;1-2;3-4,30,0,16,0,0,0,6,6
C4+K1,0-1;1-2;2-3;0-3,15,16,0,0,0,0,24,24
"K1,4",0-1;0-2;0-3;0-4,5,0,0,216,0,0,36,36
T,0-1;0-2;0-3;1-4,60,-24,36,-32,4,4,-24,-24
P5,0-1;1-2;2-3;3-4,60,-24,-12,64,4,-4,-30,-30
U,0-1;1-2;2-3;0-3;0-4,60,12,0,-136,-16,0,-12,-12
"K2,3",0-2;0-3;0-4;1-2;1-3;1-4,10,0,0,192,48,0,54,54
C5,0-1;1-2;2-3;3-4;0-4,12,180,180,320,20,-20,390,390
